,Address,prediction,label,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract),total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract
4258,0xaf016b480d76bfe3b8730644e83b024a843e8701,Normal,Normal,1.52,0.27,5.08,3,2,0,2,3,448.499279,1552.500721,1000.5,0.155836,1475.826228,666.999528,0,0,0,5,2000.998585,2001.0,0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,0x9fe0627303fe40f1631231b4dd016d30c13eafc7,Illicit,Illicit,0.0,999.1,210652.22,1,16,0,15,1,0.01,5.417582,1.278447,20.994293,20.994293,20.994293,0,0,0,17,20.99429337,20.45515437,0,-0.539139,4.0,1.337,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.337,0.33425,0.0,0.0,0.0,0.0,0.0,0.0
108,0x0b7f284d74f549731499c44aed2a10adcc9e9cc0,Illicit,Illicit,471.48,32.22,4097.1,5,54,0,46,1,4e-06,19.9918,1.266724,3.0,25.0,13.679344,0,0,0,59,68.3967205,68.4031045,0,0.006384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4377,0xc4eaaac98710df57bc4855ef99476ca9b29bb7cf,Normal,Normal,6158.39,3015.72,560193.93,18,149,0,8,2,0.004,38.835,13.9793,0.0,539.665156,115.716802,0,0,0,167,2082.902444,2082.915688,0,0.01324426,6.0,630.039231,20.76921,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.055347,600.0,157.509808,0.1,20.66921,10.384605,0.0,0.0,0.0
1840,0xd912289c9f079b0655737a55fd5d745501ecefc7,Illicit,Illicit,0.0,0.0,101673.07,1,1,0,1,1,0.1,0.1,0.1,0.099139,0.099139,0.099139,0,0,0,2,0.099139,0.1,0,0.000861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1197,0x8a04b6a0223af79e4acc0a55c7b166fe0794269a,Illicit,Illicit,1681.21,5492.54,156590.2,18,23,0,19,7,0.004731,0.5,0.106172,0.00811,0.49,0.135004,0,0,0,41,2.430080804,2.441945804,0,0.011865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,0x18bff0b35d63b6e19775d3fbbb5a9fa9d7288a74,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0
2607,0x5783ead0d790247d3628ce56e9a440f5cc9bb151,Normal,Normal,163.07,0.06,326.4,2,4,0,4,2,0.003016,48.989496,25.25,22.0,78.998974,50.499487,0,0,0,6,100.9989738,101.0,0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,0x7d5f788097e80d797064fde23a62caf8d18ee5a6,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0
2893,0x90b296419acb044cda3933fb639af8f3c942cf8c,Normal,Normal,5.24,4940.75,34621.92,7,7,0,7,1,0.3979,20.0,5.8107,0.397258,19.999341,5.809836,0,0,0,14,40.66885398,40.6749,0,0.006046015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,0x304d66005b5ad49f7ce54aceba9bbadb4a5774db,Illicit,Illicit,737.21,84.67,3058.33,3,10,0,9,3,0.01,5.0,1.561094,3.608353,6.0,5.202784,0,0,0,13,15.60835291,15.61093591,0,0.002583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496,0x0ed7f52b34520da1b432c41f762afe7ba4b613be,Normal,Normal,0.0,0.0,4.45,1,1,0,1,1,0.862155,0.862155,0.862155,0.861351,0.861351,0.861351,0,0,0,2,0.861351409,0.86215484,0,0.000803431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,0x752ee8ea6a120c61b71608c80ab154475c9df43b,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1459,0xa8eb559eeb38c6cb6a8bc6c39badd86b113cd875,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,0x23f1909f7a65cba4d2a4a42ee1ba7d9772c3ba93,Illicit,Illicit,0.0,0.0,0.0,0,1,0,1,0,0.4,0.4,0.4,0.0,0.0,0.0,0,0,0,1,0.0,0.4,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3529,0x15e920f99a3e4c1f06bc32af24196b4cb945f208,Normal,Normal,4698.93,2837.76,863053.77,142,69,0,24,38,0.03822,21.9,8.38644,0.0,40.0,4.255931,0,0,0,211,604.3421695,578.6643381,0,-25.67783146,148.0,1166255.449,1029449.955,0.0,24.0,46.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,270018.858,13252.90284,0.0,256096.87,17157.49925,0.0,0.0,0.0
1645,0xbf0c85867fcdd4064d22b0dfd91561a52134e035,Illicit,Illicit,0.0,25277.02,151662.1,0,6,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3650,0x2ecd81e43c1f66185446f4af7dfeaa6aae249f55,Normal,Normal,3487.85,4550.14,1029765.52,140,119,0,33,57,0.0,822.28,89.364668,0.0,1400.0,75.203455,0,0,0,259,10528.48376,10634.3955,0,105.9117376,178.0,33485666.23,18783966.09,0.0,28.0,69.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,12253605.86,301672.6687,0.0,12253605.86,280357.7028,0.0,0.0,0.0
4631,0xf7071db20b5ca524c955321292f95385ba5d13fa,Normal,Normal,0.0,49733.71,198934.83,0,4,1,2,0,0.0,24.9,6.25,0.0,0.0,0.0,0,0,0,5,0.0,25.0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4135,0x950c91759b0d290f98f34768685e77d56afee5ac,Normal,Normal,7911.22,16758.17,261580.58,14,9,0,7,8,0.095,13.3149,7.375544,0.0,20.0,6.798845,0,0,0,23,95.18383343,66.3799,0,-28.80393343,4.0,69421.07,69421.07,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38801.07,23140.35667,69421.07,69421.07,69421.07,0.0,0.0,0.0
3479,0x0ba0b31e81616c3c796a7c1856971fe4d11c066d,Normal,Normal,0.0,0.0,1.97,1,1,0,1,1,0.113988,0.113988,0.113988,0.113516,0.113516,0.113516,0,0,0,2,0.113516364,0.113988,0,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3436,0x025ba18cb327c8d968470936ba8f340a47fd6a43,Normal,Normal,0.0,4097.93,192602.83,0,47,1,5,0,0.0,52.4624,11.885895,0.0,0.0,0.0,0,0,0,48,0.0,558.6370505,0,558.6370505,2.0,5.761324514,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.900874,4.86045,2.880662,0.0,0.0,0.0,0.0,0.0,0.0
3151,0xc70017ba2b13689e6b1b29e287fafce9d366bdb3,Normal,Normal,102.86,515.05,632274.2,684,1091,0,7,3,0.0044,91.697592,1.163539,0.0,92.718825,1.855418,0,0,0,1775,1269.106068,1269.420599,0,0.314530549,2.0,0.623501631,0.623501631,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.623502,0.623502,0.623502,0.623502,0.623502,0.623502,0.0,0.0,0.0
3462,0x0736efb746fe92b5b02d89a98f3de2dd867bc4b3,Normal,Normal,0.0,0.0,255.4,1,1,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,0,0,0,2,1.99938,2.0,0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3153,0xc70619cca47976f49eab0cc80008f61f2bf57e5f,Normal,Normal,0.0,0.0,42.08,1,1,0,1,1,0.23308,0.23308,0.23308,0.232576,0.232576,0.232576,0,0,0,2,0.232576,0.23308,0,0.000504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2958,0x9cb5f5c5373b2ac6fca18454a754ed118f211fb4,Normal,Normal,0.0,0.0,1.57,1,1,0,1,1,2.879014,2.879014,2.879014,2.878104,2.878104,2.878104,0,0,0,2,2.87810427,2.87901427,0,0.00091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4179,0x9ff75bb5849232ca8fd43f39b664b3e2fe96ecc4,Normal,Normal,6104.05,12398.21,270099.02,28,8,0,2,8,0.1,22.0,4.824687,0.0,25.0,1.376071,0,0,0,36,38.53,38.5975,0,0.0675,8.0,276510.0,276500.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,247500.0,55302.0,0.0,248500.0,92166.66667,0.0,0.0,0.0
1430,0xa61344257ed7c98b4690572e63797d75b0753f96,Illicit,Illicit,0.0,471.97,2843.83,1,5,0,4,1,0.5,1.0,0.668618,3.342858,3.342858,3.342858,0,0,0,6,3.34285836,3.34308936,0,0.000231,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0
503,0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,Illicit,Illicit,35335.83,1059.97,500694.18,10,139,0,134,9,0.000921,66.97,2.223962,0.0,96.4,30.886987,0,0,0,149,308.8698665,309.1306606,0,0.260794051,32.0,34452.14764,9426.611941,0.0,1.0,25.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,16888.0,1148.404921,2625.611941,6801.0,4713.30597,0.0,0.0,0.0
3297,0xe62e33d73418ca7e4d2bbcb98b530ae0ac9e5ca2,Normal,Normal,11.61,0.0,46.45,4,1,0,1,4,101.0,101.0,101.0,5.998992,55.61916,25.249475,0,0,0,5,100.9979,101.0,0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3952,0x6e956fd2cb41254290f8a48fa5ffa0bce48334cb,Normal,Normal,43366.81,0.0,130100.42,3,1,0,1,2,0.01,0.01,0.01,0.0,0.008788,0.002929,0,0,0,4,0.008788214,0.01,0,0.001211786,5.0,7e-08,7e-08,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2334,0x1c8c0f9de34a82ab2725db7ad21a219decf59596,Normal,Normal,0.0,0.0,37.23,1,1,0,1,1,0.2997,0.2997,0.2997,0.299196,0.299196,0.299196,0,0,0,2,0.299196,0.2997,0,0.000504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3794,0x4c7520df888aa4569a37ac7d132f89c65821f0af,Normal,Normal,0.0,125704.72,628523.6,0,5,0,5,0,0.008496,1.5,0.580704,0.0,0.0,0.0,0,0,0,5,0.0,2.9035219,0,2.9035219,7.0,457.6503346,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,395.797879,65.378619,0.0,0.0,0.0,0.0,0.0,0.0
4071,0x87549db3042e4742298da20269d8d606f8c64962,Normal,Normal,0.0,10270.11,133511.43,0,13,1,6,0,0.0,13.288954,5.901315,0.0,0.0,0.0,0,0,0,14,0.0,76.71708878,0,76.71708878,1.0,2.708908663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.708909,2.708909,2.708909,0.0,0.0,0.0,0.0,0.0,0.0
1142,0x85234c92d4dddf239df9c76497a6516fdf546577,Illicit,Illicit,42314.28,0.64,338515.55,8,2,0,2,8,0.2,0.99,0.595,0.08,0.315567,0.148558,0,0,0,10,1.188467,1.19,0,0.001533,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0
4401,0xcab5d4a678b4ccaf0f4dab8bebee02f3cf6afe02,Normal,Normal,0.0,3210.03,192601.7,0,60,1,4,0,0.0,0.753905,0.400353,0.0,0.0,0.0,0,0,0,61,0.0,24.02119871,0,24.02119871,2.0,0.716105961,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.247739,0.468367,0.358053,0.0,0.0,0.0,0.0,0.0,0.0
2318,0x18b6b7a19d2533c913b7aa39220193cc1eda2125,Normal,Normal,164.83,0.21,330.08,2,2,0,2,2,43.214208,57.785792,50.5,2.0,98.998974,50.499487,0,0,0,4,100.9989738,101.0,0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,0x49358a824c66b64a2f0c8bb3c99dd73586afab16,Illicit,Illicit,0.0,3141.88,56553.9,0,18,1,11,0,0.0,2.9,0.355687,0.0,0.0,0.0,0,0,0,19,0.0,6.40236358,0,6.40236358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,0xba6f1e885c5a9b97e4a0eb81a5146ea49f53d5c4,Illicit,Illicit,2372.28,6900.61,626664.22,14,86,0,79,14,5e-06,15.0,0.723053,0.05589,4.076752,2.213942,0,0,0,100,30.99518555,62.18251733,0,31.18733178,3.0,100.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,33.333333,0.0,0.0,0.0,0.0,0.0,0.0
145,0x0ec0e48673e4901c3a28ade2540420f68996e79e,Illicit,Illicit,699.85,1947.03,11834.68,3,5,0,4,3,0.102361,0.8,0.380472,0.18,1.115,0.631667,0,0,0,8,1.895,1.902360896,0,0.007360896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255,0x903dc47aa7c40f9f59ef1e5c167ce1a9b39a2bff,Illicit,Illicit,0.0,576.75,13265.27,0,23,1,3,0,0.0,2.1,0.176957,0.0,0.0,0.0,0,0,0,24,0.0,4.07,0,4.07,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0
1178,0x88436c2a2f427f2aa641dfd8c6763facf2bad7bf,Illicit,Illicit,1955.81,1279.4,18661.38,3,10,0,9,2,0.005,8.0,1.285516,0.01095,11.870507,4.293469,0,0,0,13,12.88040749,12.85515691,0,-0.025250584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4363,0xc1b6bd01696b4cc2dbecc27c4a1bba62c2477ed5,Normal,Normal,0.0,0.0,1.67,1,1,0,1,1,0.1,0.1,0.1,0.099528,0.099528,0.099528,0,0,0,2,0.099528364,0.1,0,0.000471636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,0xfb5e36b888bc15528b6bd42fe0b1b2af62693eb9,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,13.37,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,0.0,0.0
2185,0x006743c8992ca6d54c23fa3a745a4781b3817f0c,Normal,Normal,20827.93,0.0,186707.1,8,1,0,1,2,10.0,10.0,10.0,1.621938,26.0,12.688992,0,0,0,9,101.5119377,10.0,0,-91.51193767,1.0,0.031819385,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031819,0.031819,0.031819,0.0,0.0,0.0,0.0,0.0,0.0
1055,0x7b6e99ba5304edeed50c0ab2001740c39b4022ad,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,13.37,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,0.0,0.0
4041,0x807b9487aaf00629b674bd6d02e4917453bc5939,Normal,Normal,0.0,417.63,960129.8,0,2299,1,1236,0,0.0,0.011,1e-05,0.0,0.0,0.0,0,0,0,2300,0.0,0.022,0,0.022,7.0,0.889002255,0.0,5.57e-05,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,1e-06,0.888889,0.1778,0.0,0.0,0.0,0.0,0.0,0.0
4024,0x7d4ddf2b21164723f33d9ca8137cca59f33e4d8c,Normal,Normal,636.46,113487.03,802683.22,13,7,0,7,9,0.01202,45.1,8.308276,0.001208,44.874038,4.47329,0,0,0,20,58.15276463,58.15793103,0,0.0051664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4386,0xc783af8e521bcd9c56ee05b60bf292cc39cab794,Normal,Normal,2318.48,997.85,10946.83,3,4,0,1,2,0.0899,2.672315,1.346607,0.01,5.36,1.793333,0,0,0,7,5.38,5.386427526,0,0.006427526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3973,0x72e29e789dee788a2d14ce17cc71d205f9b12b5b,Normal,Normal,33.98,698.72,18982.13,24,26,0,5,1,1.05,5.572,4.257508,1.049559,13.033528,4.611303,0,0,0,50,110.6712676,110.695197,0,0.023929433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,0x27f897ebeed82240734489d52aa7e39a8ca257e9,Illicit,Illicit,0.0,53.22,14852.18,1,24,0,18,1,0.02,30.0,2.013145,48.864611,48.864611,48.864611,0,0,0,25,48.86461145,48.31547245,0,-0.549139,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,0.0,0.0
3082,0xb738c335f3ac6916cae7f2a6c79022c9a8f25d05,Normal,Normal,34.73,0.25,69.95,2,2,0,2,2,2.313809,98.686191,50.5,30.0,70.99896,50.49948,0,0,0,4,100.9989597,101.0,0,0.001040256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0xeab1d82e96541718e645fdef4a5ee9df78605b76,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
